+--------+--------+-----------+---------------------------------------------------------+---------------------------------------------------------+
| Count1 | Count2 | BothCount | Title                                                   | Title                                                   |
+--------+--------+-----------+---------------------------------------------------------+---------------------------------------------------------+
|    115 |    101 |         4 | Our New Selection!                                      | War-Trail, The                                          | 
|    101 |    110 |         4 | War-Trail, The                                          | Master of Men                                           | 
|    115 |    125 |         1 | Our New Selection!                                      | Life for a Life, A                                      | 
|    110 |    125 |         1 | Master of Men                                           | Life for a Life, A                                      | 
|    115 |    125 |         1 | Our New Selection!                                      | Two Years Ago                                           | 
|    110 |    125 |         2 | Master of Men                                           | Two Years Ago                                           | 
|    101 |    112 |         2 | War-Trail, The                                          | On Our Selection                                        | 
|    125 |    112 |         1 | Two Years Ago                                           | On Our Selection                                        | 
|    143 |    100 |         4 | All the Year Round                                      | Scalp-Hunters, The                                      | 
|    101 |    105 |         1 | War-Trail, The                                          | Glengarry Days                                          | 
|    143 |    105 |         1 | All the Year Round                                      | Glengarry Days                                          | 
|    125 |    105 |         1 | Life for a Life, A                                      | Glengarry Days                                          | 
|    105 |    101 |         1 | Glengarry Days                                          | History of England, The; from the Accession of James II | 
|    101 |    114 |         2 | War-Trail, The                                          | Doctor of Crow's Nest, The                              | 
|    143 |    114 |         2 | All the Year Round                                      | Doctor of Crow's Nest, The                              | 
|    125 |    114 |         1 | Life for a Life, A                                      | Doctor of Crow's Nest, The                              | 
|    125 |    114 |         2 | Two Years Ago                                           | Doctor of Crow's Nest, The                              | 
|    100 |    114 |         4 | Scalp-Hunters, The                                      | Doctor of Crow's Nest, The                              | 
|    158 |    114 |         2 | Adam Bede                                               | Doctor of Crow's Nest, The                              | 
|    101 |    107 |         1 | War-Trail, The                                          | Queen of the Rushes: A Tale of the Welsh Revival        | 
|    125 |    107 |         1 | Two Years Ago                                           | Queen of the Rushes: A Tale of the Welsh Revival        | 
|    100 |    107 |         3 | Scalp-Hunters, The                                      | Queen of the Rushes: A Tale of the Welsh Revival        | 
|    158 |    107 |         3 | Adam Bede                                               | Queen of the Rushes: A Tale of the Welsh Revival        | 
|    101 |    101 |         1 | War-Trail, The                                          | Anna the Adventuress                                    | 
|    143 |    101 |         1 | All the Year Round                                      | Anna the Adventuress                                    | 
|    125 |    101 |         1 | Life for a Life, A                                      | Anna the Adventuress                                    | 
|    125 |    101 |         2 | Two Years Ago                                           | Anna the Adventuress                                    | 
|    158 |    101 |         1 | Adam Bede                                               | Anna the Adventuress                                    | 
|    101 |    121 |         2 | War-Trail, The                                          | Beatrice                                                | 
|    125 |    121 |         1 | Two Years Ago                                           | Beatrice                                                | 
|    100 |    121 |         3 | Scalp-Hunters, The                                      | Beatrice                                                | 
|    115 |    101 |         3 | Our New Selection!                                      | Beau Brocade                                            | 
|    101 |    101 |         1 | War-Trail, The                                          | Beau Brocade                                            | 
|    125 |    101 |         1 | Life for a Life, A                                      | Beau Brocade                                            | 
|    100 |    101 |         4 | Scalp-Hunters, The                                      | Beau Brocade                                            | 
