"WorkID","Title","Year","Author","LibraryID","NumBorrowers","x","y"
-1066310288,"Rajah's Racer, The","1905","Gould",2,21,27.6440155919067,-44.5034952459083
3705,"By Order of the Company","","Johnston",2,25,29.3761574274198,36.1990726544402
-1949068651,"Curse of Clement Waynflete, The","1894","Mitford",2,28,25.7713979014775,-17.5365907962509
-1620246891,"Tempter's Power, The","1903","Hocking",2,67,47.7875832118306,10.6259216609442
-1495130671,"Ironmaster's Daughter, The","1906","Clay",2,41,-35.5131104776452,12.4944947210008
952077577,"Christian's Cross","1905","Swan",2,41,44.3246926109419,-9.4443236300847
-1584290599,"Mother's Little Girl","1904","Turner",2,25,23.0913496715268,25.7128324528428
1134294745,"Man on the Box, The","1904","McGrath",2,63,-7.6938572378529,28.0182329090788
-1612206014,"That Frenchman!","1889","Gunter",2,22,37.3816918643739,11.0002132694417
-1862615958,"Second Dandy Chater, The","1901","Gallon",2,28,38.3110529519983,-48.0216972519102
-1029444131,"Mr Crewe's Career","1905","Churchill",2,23,-63.366593068456,24.5288955776828
1500949276,"Mystery of a Motor-Car, The","1906","Le Queux",2,41,-10.9160293205114,-22.1260594708409
-1741754252,"Beth Norvell: a Romance of the West","1907","Parrish",2,39,-24.8953345119776,19.7696433094362
3698,"Brothers, The: The True History of a Fight Against Odds","1904","Vachell",2,48,-26.9221398791083,27.7847694569194
20592,"Yellow God, The","","Haggard",2,26,-49.9289077641062,-1.39799026103356
1239722660,"Dr. Burton's Success","1908","Gunter",2,24,-39.1000592207635,9.80813646701736
-972988757,"Thou Fool","1907","Bell",2,42,-32.9925770400529,18.8006681895065
3482,"Waters of Jordan, The","","Vachell",2,38,-62.8772466478079,11.6497845246053
-776831116,"If Youth but Knew!","1906","Castle",2,44,-4.9938093334224,21.0854949582446
20580,"Won by Waiting","1879","Lyall",2,22,51.5937601106755,-22.8834985562276
1333058836,"Rulers of Kings","1904","Atherton",2,24,16.0144110883740,18.5881342936824
-810866137,"Scalp-Hunters, The","1851","Reid",2,24,-6.4765927322657,-49.6259082463189
-1151096046,"Denver's Double","1901","Griffith",2,24,51.2097578893805,13.6789924841951
20131,"Neither Storehouse Nor Barn","","Raine",2,29,-35.0736605987117,32.6938560090490
2049148597,"If I Were King","1903","McCarthy",2,26,46.6725102930972,-4.50353151110872
-615910693,"Virginian, The","1902","Wister",2,36,60.8405140309389,-2.53956578498272
446731591,"Mother's Son, A","1907","Fry",2,32,-27.5516148155505,13.1851972738841
-1115464877,"Maids of Paradise, The","1902","Chambers",2,34,5.31337246242179,-16.4342103855166
2128728727,"Banker and Broker","1893","Gould",2,36,20.0475714812282,-54.7900764465506
862029298,"Lychgate Hall","1904","Francis",2,31,3.26870385500945,21.0859186899232
-1286386564,"Doctor Luke of the Labrador","1904","Duncan",2,20,3.46891318148157,-5.98417160671845
81557616,"My Sword for Lafayette","1906","Pemberton",2,20,-30.5375383929131,-10.7163384889046
1612914817,"Jimmy","1903","Winter",2,47,44.1234922730808,-0.037299129286624
-1652056669,"Running Water","1907","Mason",2,22,-11.2701852991795,16.5428184617752
-1002613009,"Driscoll, King of Scouts","1901","Hales",2,23,2.94465778526399,-41.1389043942118
5476,"Goose Girl, The","","McGrath",2,25,-51.121627867047,12.2933614890678
639803954,"Veldt Vendetta, A","1903","Mitford",2,56,35.1098912557492,-24.0298063457535
2016813082,"Woman with the Fan, The","1904","Hichens",2,38,34.6806059028270,1.40077622457910
3658,"Bishop's Scapegoat, The","","Clegg",2,25,-26.8093675215279,14.2855684302478
1369195664,"Delphine","1904","Yorke",2,54,38.4659078221158,0.334015419031403
5276,"Doctor Nikola","","Boothby",2,37,47.3452735222857,-31.2937309021703
-1482058543,"Idol of the Town, The","1903","Le Queux",2,46,-6.11937902372923,-24.2729767814865
-2040396025,"Way of a Man, The","1902","Roberts",2,53,39.6994993927851,-6.70960168690363
809257791,"Man with the Opals, The","","Barrett",2,35,-12.5504575443997,-20.4965418010330
20576,"Woman Intervenes, A","","Barr",2,31,11.2569502366449,-42.3311165434189
15000,"Whispering Smith","1908","Spearman",2,26,-15.5036696872204,-0.0811853615784343
3681,"Bottom of the Well, The","","Adams",2,45,-11.4083764430059,0.555344552220816
1125259823,"Boy from Cuba, The","1900","Rhoades",2,38,-26.9294424352912,-30.1423064322613
-492359368,"Hearts and Masks","1905","McGrath",2,38,-18.4458113872743,27.5409151212107
-569907600,"Maker of History, A","1905","Oppenheim",2,23,29.8603808765615,5.41076670073353
-1358102549,"Illustrious O'Hagan, The","1906","McCarthy",2,28,-35.9334956484862,-9.74917492375253
-1765581412,"In Wolf's Clothing","1908","Garvice",2,44,-61.7688971238077,-13.8489795382935
-556831949,"Infatuation of the Countess, The","1899","White",2,32,47.3169812313548,-9.30554863309233
20512,"Valentine Vox","","Cockton",2,27,64.3692675367463,7.9625873816842
1299,"Mary Garth","","Swan",2,38,36.3092919793196,27.0138281760488
1497302117,"Secret History of Today","1904","Upward",2,28,10.0592490334673,11.4743071496656
99710621,"Jockey Jack","1892","Gould",2,27,21.261508202921,-54.1730945760721
-2136981442,"Honeymoon in Space, A","1901","Griffith",2,22,7.94052179735617,-28.0751893593697
5485,"Greater Love","","Hocking",2,51,43.6142425283047,14.3301756245878
-895209630,"Esther Waters","1894","Moore",2,40,35.0035058668669,-8.29188522686238
20011,"Lost Square, The","","Meade",2,33,0.649161141234458,-21.5520143418524
19935,"Jeanne of the Marshes","","Oppenheim",2,30,-53.5227009799387,8.46322287176116
20425,"Strong Mac","","Crockett",2,41,1.46522265815562,20.3684172407624
20486,"Travers: A Story of the San Francisco Earthquake","1908","Dean",2,34,-41.7057882369466,17.9996875790821
-2092154778,"Sherriff of Dyke Hole, The","1909","Cullum",2,20,-57.4377307737802,10.5050422265185
5380,"Firing Line, The","","Chambers",2,21,-55.0465930751692,13.1651244831041
-1499887260,"Wizard's Light, The","1902","Hocking",2,25,22.3724155520952,-23.997398662704
-486421855,"Hearts of Wales","1905","Raine",2,43,11.0918252481115,29.7741038501318
666113141,"Girl Who Had Nothing, The","1905","Williamson",2,51,-3.34108418666296,27.1275269471049
1150972836,"Maker of Nations, A","1900","Boothby",2,35,44.4947818117825,-30.9992293475477
-299558027,"Seven Secrets, The","1903","Le Queux",2,49,27.4511493525413,-32.2773750887225
20431,"Survivor, The","","Oppenheim",2,60,38.3506641039008,-11.819784432173
20327,"Sandy's Selection","","Rudd",2,34,31.3964287879777,11.7473195286900
5705,"Welsh Witch, A","","Raine",2,56,10.0990238539052,31.1115210293711
1151185777,"Silent Places, The","1904","White",2,44,-5.06743221332942,-4.60701838321023
1361354386,"Double Barrelled Detective Story, A","1902","Twain",2,32,8.34965010232348,-43.4877953176291
1469407550,"Branded Name, A","1903","Bloundelle-Burton",2,34,11.7241078068627,-15.6610074891818
5383,"Flaming June","","Vaizey",2,42,-43.6073123320172,13.0987014890423
1271891559,"Rosalind at Red Gate","1907","Nicholson",2,33,-23.4693619825600,16.5549748507278
1408139517,"Trials of Commander McTurk, The","1906","Hyne",2,23,-6.76361848081507,-13.3354473583380
5246,"Deemster, The","1887","Caine",2,27,14.493234938089,-6.95348425652731
-1053485524,"Pilot at Swan Creek, The","1905","Connor",2,23,12.9208415290229,4.87730189613139
-993440859,"Lewis Rand","1908","Johnston",2,35,-44.8047475908641,-8.58534843820911
447730203,"Raymond's Ride","1903","Gould",2,62,31.4642879128704,-36.7619868501998
-1560984391,"White Fire","1905","Oxenham",2,39,-25.2439950213355,32.4433576720088
20110,"Mr Meeson's Will","","Haggard",2,26,42.345751463719,23.8577082202820
-898175613,"On Our Selection","1899","Rudd",2,60,57.1121656227536,-16.8237967191097
229137167,"Marriage of Lydia Mainwaring, The","1902","Sergeant",2,37,35.6573575952523,18.8956792975709
152022580,"White Plumes of Navarre, The","1906","Crockett",2,23,-11.7388565147016,26.8790433550036
2922,"Beverly of Graustark","","McCutcheon",2,54,-22.2448708038562,35.38610339873
1591313217,"Lost American, A","1898","Gunter",2,20,-14.9942182991995,17.5815058939995
5437,"Gambler, The","1905","Thurston",2,54,6.47726448041471,5.18002773071934
1794350499,"Ghost Kings, The","1908","Haggard",2,24,-45.2254860846171,22.0121639712136
-866950604,"Honey","1902","Mathers",2,20,24.0783018860219,17.6054720942647
17129,"Lady Baltimore","","Wister",2,35,2.17116956017679,4.91647774700281
5253,"Dene Hollow","","Wood",2,22,62.7835123927084,-29.2984444780526
-480772011,"Call of the South, The","1908","Durham",2,26,-61.3550758824995,19.7701496558486
1094622745,"Prodigal Father, The","1909","Clouston",2,32,-54.0139819329618,-1.44048753537350
-962771890,"Lavender and Old Lace","1902","Reed",2,48,4.47033021432761,39.5916707335894
-2134919697,"Road-Builders, The","1905","Merwin",2,25,3.67263833716898,12.4822252676446
1621846972,"Guy Fulkes of the Towers","1906","Everett-Green",2,33,-10.2759349738323,28.5594369641561
2124699078,"Awakening of Anthony Weir, The","1901","Hocking",2,47,62.6153390326333,8.34386112109348
343474542,"King's Secret, The","1901","Savage",2,23,-3.95040130310074,-14.4120896489762
-1818996774,"Eileen","1903","Cleeve",2,52,43.0045937046294,-0.0868398707517965
-137806521,"Light-Fingered Gentry","1907","Phillips",2,42,-51.7270071760361,-1.77823844394029
-1788150609,"Anthony Overman","1906","Michelson",2,25,-9.01670687379031,18.2922903240717
20770,"Dad in Politics","","Rudd",2,34,-13.2004947463140,40.1776557620341
-2022641262,"Of Royal Blood","1900","Le Queux",2,30,22.8476522474933,3.10749997200833
19861,"Half a Rogue","","McGrath",2,26,-19.9215525766351,25.7813071320598
-689700606,"Sorceress of the Strand, The","1903","Meade",2,29,13.5100863860311,-21.1019510753057
690136139,"Without a Home","1881","Roe",2,23,49.7025977833107,3.93062373543383
-1752612200,"Hearts in Exile","1904","Oxenham",2,48,-31.313310984775,19.2790928823957
3782,"Coming of the King, The","","Hocking",2,49,17.1500554204982,11.4327159767296
1325863389,"Jack Spurlock, Prodigal","1908","Lorimer",2,29,-63.3222603048024,0.517519323435149
-223440270,"Sheilah McLeod","1897","Boothby",2,43,47.6197166008995,-26.8137393481561
-61231206,"Old Rogue's Tragedy, An","1899","Rita",2,23,24.4282377875734,5.34713073482072
20477,"Torn Sails","1898","Raine",2,32,13.2294111191566,29.4454309611068
-99763347,"Criminal Croesus, A","1904","Griffith",2,24,12.5457145986764,-21.4910235088314
-1405806611,"Only the Governess","1888","Carey",2,32,50.5807481747942,24.4081208434969
20329,"Scapegoat, The","","Caine",2,23,40.1790552206067,29.8161151158424
2072905156,"Her Majesty's Minister","1901","Le Queux",2,27,25.5746080762953,-1.36299967651116
1308336748,"Daughter of Anderson Crow, The","1907","McCutcheon",2,43,-46.9122501909109,9.4819610689243
5473,"Gold Wolf, The","","Pemberton",2,48,40.5925466198599,-4.5763684679027
-994722730,"Long Arm, The","1909","Oppenheim",2,42,-44.4455149789833,-0.169201413869791
1391453995,"Once!","1892","Yorke",2,35,-26.9654312218076,28.9741457463678
859668090,"Sherrods, The","1903","McCutcheon",2,35,-21.1226046375855,37.3277071694675
-1988766690,"Doctor Xavier","1903","Pemberton",2,40,15.3577527283349,-13.6193837912104
31400271,"Horse or Blacksmith?","1897","Gould",2,40,15.8807521218638,-53.7496220733774
-1857209556,"Spinner in the Sun, A","1906","Reed",2,33,4.49179159610159,38.0529997557147
20219,"Prince of Sinners, A","1903","Oppenheim",2,90,39.0748545842789,-4.73609924187767
-1889581224,"Castaway, The","1904","Rives",2,39,-4.35375751505647,-3.86996876430353
2113905010,"Sword in the Air, The","1904","Gunter",2,35,22.7313295050989,-9.89047209820344
5332,"Esau","","Hocking",2,47,-0.100162462144535,19.8522651852697
-1408336355,"Nyria","1904","Praed",2,21,13.5323257274443,-29.9225419666479
1815604617,"Rickerby's Folly","1901","Gallon",2,21,2.87264414968025,-8.32663547779935
1796437770,"Crittenden","1900","Fox",2,43,-4.028254688015,31.7329675911805
-5736314,"Side-Stepping with Shorty","1908","Ford",2,25,-41.7351025306433,-6.39881592043937
