"WorkID","Title","Author","Year","NumBorrowers","x","y"
-221969953,"Banner of Blue, The","Crockett","1903",13,11.1079089065416,24.9020938595320
-2113179128,"Our New Selection!","Rudd","1903",55,17.3210025585424,-29.6562998811032
15960,"Mr Horrocks Purser","Hyne","1902",23,-13.0110281123137,13.2847720942967
1864577657,"Magpie Jacket, The","Gould","1896",27,34.3635023818144,27.3803068140847
1777147615,"Marty","Winter","1903",37,-6.6930467947038,-37.8099230424915
3806,"Count of Monte Christo, The","Dumas","",3,29.3326962932948,2.97119640224879
1,"David Copperfield","Dickens","",3,32.9489006316959,-28.1195825359734
1529422135,"Mohawks","Braddon","1886",4,63.507184750931,-21.3328773375166
-1900821874,"Faith of Men and Other Stories, The","London","1904",22,-20.8078106466297,-8.90884261413852
1084132890,"Kitty Costello","Alexander","1904",53,-22.8115201547884,-16.6453571590840
20128,"Nada the Lily","Haggard","1892",15,58.268434022845,-11.1111177405418
3681,"Bottom of the Well, The","Adams","",45,-35.6792843310185,27.219368270918
3564,"Queen of the Rushes: A Tale of the Welsh Revival","Raine","1906",39,-48.773435944798,26.1431737770975
-1054841824,"Ziska","Corelli","1897",28,-23.4116009453278,-38.0830364249274
4149,"God and the Man","Buchanan","",11,50.5961674241609,-30.8944347098456
3735,"Garthowen","Raine","",33,-33.9746278115439,-20.6380409561458
-1652056669,"Running Water","Mason","1907",22,-44.9744394645746,10.3339778151378
414267312,"One in Charity","Hocking","1893",31,32.2172807863406,-39.1502949846623
5651,"Nest of Linnets, A","Moore","",14,20.1485156104211,-12.9331543973735
1311813574,"Virginians, The","Thackeray","1857",1,32.2030329619591,-3.49032289131871
16112,"Shorty McCabe","Ford","",31,-45.1925321150285,5.94994080361587
20394,"Soul of Dominic Wildthorne, The","Hocking","1908",39,-42.2699123404759,33.3619647463933
-875160437,"Rising Fortunes","Oxenham","1907",22,-42.2271976708604,-9.0956199762753
20228732,"Last of the Mohicans, The","Cooper","1826",7,23.8555897856839,5.81765061383422
-1803346962,"Brunhilde's Paying Guest","Fuller","1907",32,-38.3756863317085,35.3505814166336
-223440270,"Sheilah McLeod","Boothby","1897",43,37.3806563208847,-25.3414719660277
-1424790954,"St Jude's","Maclaren","1907",20,-26.5343861969437,10.2100201645312
257677773,"Boy in Green, The","Gould","1906",47,7.01281778206754,-15.1801057560610
202468735,"Day Will Come, The","Braddon","1889",4,57.251759331158,-18.4590226574322
-993440859,"Lewis Rand","Johnston","1908",35,-31.5977467456565,27.1192019377956
-1075540956,"Long Road, The","Oxenham","1907",14,-41.4836172727867,7.20381850350928
573071413,"Quadroon, The","Reid","1856",4,46.2389839911568,6.28698323424207
20816,"Ghost Camp, The","Boldrewood","",30,12.8140524708201,36.5754000990981
20486,"Travers: A Story of the San Francisco Earthquake","Dean","1908",34,-56.5456866109693,23.1117520360196
-1975363357,"Conspirators","Oppenheim","1907",34,-46.2770285234732,40.1186223846158
20576,"Woman Intervenes, A","Barr","",31,20.5121981835710,26.6149842786243
-1002613009,"Driscoll, King of Scouts","Hales","1901",23,16.3077194055851,-1.62808314542586
-992109134,"Barriers Burned Away","Roe","1872",18,62.0446467452921,-17.3003879684448
15973,"Sandy Carmichael","Hyne","",19,-38.2099632727746,0.099630531504913
20028,"Main Chance, The","Nicholson","",36,-45.2339287965574,2.15259338019989
3622,"Barlasch of the Guard","Merriman","1903",24,7.04741144117419,8.88824832651439
2000521587,"Scenes of Clerical Life","Eliot","1858",1,33.9693635188323,11.0645760887138
1330,"Ross Durham, Surgeon","Lyall","",29,-46.2142377594368,21.0702458614558
5246,"Deemster, The","Caine","1887",27,50.9696719288187,-18.2302739163099
1296866559,"Last Days of Pompeii, The","Lytton","1834",4,57.0761356639739,-32.0975181301508
675503518,"Consummate Scoundrel, A","Boothby","1904",49,11.0602789382925,-4.24328605490287
115560900,"Black Cross, The","Briggs","1909",38,-25.5159620071865,25.5541002144762
2624,"Show Girl, The","Pemberton","",31,-28.2008021352363,41.8287995416174
-217169642,"Basil","Collins","1852",2,34.8293505513816,-2.98783451820086
127312870,"Newton Forster","Marryat","1832",1,49.0396795494452,5.68083804356789
20315,"Round the Red Lamp","Doyle","",10,21.2338836116303,-27.8603192006039
4242,"Ivanhoe: A Romance","Scott","1820",7,25.8574529875055,-3.83188808733638
19962,"King's Own","Marryat","1838",5,42.0902291540873,7.19983786517358
20404,"Squatter's Dream, The","Boldrewood","1890",28,59.2030512271978,-15.7293889134230
-1238857442,"Garden of Lies, The","Forman","1902",30,-14.5784073506960,-0.307584512297377
-1546612848,"Missionary, The","Griffith","1902",60,-7.69772827844202,-14.9587385822598
1796437770,"Crittenden","Fox","1900",43,-30.1151155805958,-24.9175892719884
1299,"Mary Garth","Swan","",38,-35.131144623813,-22.7497999726950
-1287209163,"Via Crucis","Crawford","1898",8,25.9857984737983,-22.4816835331662
2036705423,"Little Shepherd of Kingdom Come, The","Fox","1902",69,-13.4357289048787,-8.49760775833187
2054962527,"Digby Grand","Whyte-Melville","1853",13,1.86480452140772,12.1619857408670
3712,"By Wit of Woman","Marchmont","",45,-37.5426232672269,5.3401522702888
20042,"Man Who Rose Again, The","Hocking","",34,-36.0637855921210,-0.267912576674056
-569907600,"Maker of History, A","Oppenheim","1905",23,-22.0051971528593,-9.93782216703058
3124,"Prospector, The","Connor","",43,-25.6745016282898,-11.4049168920283
-1495130671,"Ironmaster's Daughter, The","Clay","1906",41,-37.9741722780254,-21.9990673703376
-1561099026,"Man's Fear, A","Drummond","1903",28,-8.74449586595884,13.7291088047188
1313260458,"John Chilcotte, MP","Thurston","1904",21,1.51605355004514,22.0935446354752
446731591,"Mother's Son, A","Fry","1907",32,-55.0423418898622,19.4921399530687
20796,"Windsor Castle","Ainsworth","1843",2,34.3752039381525,5.52863294048692
822185511,"Wilson's Tales of the Borders","Wilson","1857",19,20.8845912289984,10.8958304967916
1337291484,"Wild Huntress, The","Reid","1855",14,20.2473550872681,-0.284802898979456
1030600657,"Perjurer, The","Norris","1909",20,-25.6557252210756,31.6041703024648
-137806521,"Light-Fingered Gentry","Phillips","1907",42,-29.2216111752702,37.7964308568306
20309,"Romola","Eliot","1864",2,53.1207309015896,-4.32959478231217
1896709993,"Calling of Dan Matthews, The","Wright","1909",21,16.8762305283679,17.2799323712057
-99763347,"Criminal Croesus, A","Griffith","1904",24,-5.47648037271373,8.88765022036214
-1807085273,"Lochinvar","Crockett","1897",4,41.1336698408756,-27.8041084266780
5450,"George Canterbury's Will","Wood","",15,61.9937856873445,-23.7403795272934
1817343039,"Master of Beechwood, The","Sergeant","1902",24,-13.3890603505203,-40.4352023816028
1660006030,"Southerners, The","Brady","1905",66,0.333581335692071,-35.3227776970272
16411,"Riverman, The","White","",31,-29.8807657162206,39.5214443096765
878850932,"Adventures of Arthur O'Leary, The","Lever","1844",7,40.2296837450894,0.468521957843762
-493241832,"Anthea's Way","Sergeant","1903",23,-37.7411878794372,-7.39012606970909
-895209630,"Esther Waters","Moore","1894",40,59.8991901914531,-13.5187224544590
-117151922,"Glengarry Days","Connor","1902",60,-5.92884027456644,-35.3315256554185
5362,"Fate of Endelloc, The","Hocking","",58,-2.19746208528756,-18.135421786793
3638,"Before Adam","London","",15,-25.8621970356521,7.06940852030849
-1069803271,"Fordham's Feud","Mitford","1897",28,-29.166729451346,7.23822250602657
1377520262,"Under the Iron Flail","Oxenham","1902",34,11.1412353203444,-8.69855259905398
-1873945069,"Red Court Farm, The","Wood","1868",33,-13.6317668808703,-47.1358345655998
-706818185,"Romance of Jenny Harlowe, The","Russell","1890",6,47.5739267592442,-6.28629082050712
-1734021530,"Wrong Box, The","Stevenson","1889",18,34.5569685779785,-12.6233633753647
1698666637,"Pennycomequicks, The","Baring-Gould","1890",26,-25.2439451053368,11.1661750230956
-978139911,"Strong Man's Vow, A","Hocking","1907",42,-44.3661950693001,18.3435281856888
2128,"Great Expectations","Dickens","",5,41.7969187462609,-8.35080806253757
-1286386564,"Doctor Luke of the Labrador","Duncan","1904",20,-12.2832801575570,5.03487648837165
1019813511,"Light That Failed, The","Kipling","1891",14,23.635062354898,15.5161468116908
568932450,"Katrine","Lane","1909",32,-38.0500247253796,39.1145961822908
5406,"Forging the Blades","Mitford","",16,-33.8486319254437,40.215114403251
-554828228,"Royal Georgie","Baring-Gould","1901",20,-10.1985644985853,0.0581533378099175
447730203,"Raymond's Ride","Gould","1903",62,-18.7544244786638,-16.2641614429698
1192913671,"Lady Betty across the Water","Williamson","1906",26,-1.71645296241104,10.8429591208277
2124699078,"Awakening of Anthony Weir, The","Hocking","1901",47,-18.1841136923920,-31.4918707076202
20463,"Three Musketeers, The","Dumas","",8,29.8412150568009,-9.47210128455611
-1315746537,"Last Hope, The","Merriman","1904",28,1.28851863479044,30.8496971703780
-723135260,"Dark Horse, The","Gould","1899",22,34.4694927656155,22.7116002084497
1256207328,"Marooned","Russell","1889",10,47.9292438849582,-0.899974217159778
-1066310288,"Rajah's Racer, The","Gould","1905",21,8.26712785967137,-18.3587647446181
15562,"My Lost Self","Marchmont","1908",39,-46.962485892199,24.5587108196182
3775,"Cloister and the Hearth, The","Reade","1861",6,45.1063657033895,-28.2636663772685
-2104083745,"War-Trail, The","Reid","1857",10,42.0622321135667,4.03391653163072
2129,"Barnaby Rudge","Dickens","1841",4,27.6967934519415,6.93574695165227
1325863389,"Jack Spurlock, Prodigal","Lorimer","1908",29,-41.9472295172071,35.0496077694015
645009710,"Queen of Night, The","Hill","1896",19,-2.37463886281814,7.66962983134781
350749724,"John Burt","Adams","",31,-30.8144574062178,-11.0114283646479
2131,"Tess of the D'Urbervilles","Hardy","1891",10,58.1481441019982,-9.05416937789192
1125259823,"Boy from Cuba, The","Rhoades","1900",38,21.1704318944624,5.36747823258015
20048,"Martin Chuzzlewit","Dickens","",4,52.6793322121439,-28.0103389217648
5331,"Eric Brighteyes","Haggard","",15,54.5352942212512,-3.66749317206673
21105,"Holmby House: A Tale of Old Northamptonshire","Whyte-Melville","1860",1,30.3558884775807,12.3440587596443
19948,"Johnny Ludlow","Wood","",14,26.6695102820410,-11.4888282076176
-1821469957,"Night and Morning","Lytton","1841",6,26.2340807611233,-8.55638907831147
894,"Childerbridge Mystery, The","Boothby","",49,-0.833543497552432,-8.47694914961629
142426981,"Daltons, The","Lever","1852",1,29.6216174993839,-3.35901079623384
19987,"Les Miserables","Hugo","",12,23.2774143404484,3.55842233344009
3791,"Connie Burt","Boothby","",71,1.6146546737114,-24.6056113363312
-580014552,"Briar and Palm","Swan","1887",53,-6.87253935706015,-38.4775882157752
914,"Lust of Hate, The","Boothby","",39,-18.6191464797900,-25.0978527253111
881703171,"Master of the Mine, The","Buchanan","1891",28,54.0434175028587,-13.097273814498
1418132798,"Grey Wig, The","Zangwill","1903",15,11.2683599785405,19.6349723404104
2941,"Jane Cable","McCutcheon","1906",47,-34.3283558256642,3.32253159879278
269756263,"Rue with a Difference","Carey","1900",36,-28.6740654090389,-30.0706261510911
-9998224,"First Violin, The","Fothergill","1903",15,-30.6844914039345,-17.2031421227213
15764,"Coniston","Churchill","",24,-27.4713972651090,6.22205506034088
